Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InffMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsePer100,logCO2,logGNI,logEnergyUse,logImports,logExports,newForest
"Hong Kong SAR, China",HKG,7336600,0,42970,,184.708902,186.9989513,,240.7962077,4.152,1.205,,,84.22682927,,1.42,6.393600526,1970.484128,93.17288162,4496,4864,-8.185053381,0.03,0,0.03,0,0,,1.870817157,10.66825748,7.586034542,5.218781083,5.231103009,-2.860953229
China,CHN,1378665000,43.222,8250,,17.37543911,19.65837757,1.932012823,97.25213003,6.375,1.624,99,8.5,76.252,56.33014796,0.81,7.543907641,2236.729908,87.48076266,617134,550530,10.79246971,,,,,,,2.033908944,9.017968479,7.712770216,2.855057663,2.978503587,3.285189448
Indonesia,IDN,261115456,45.534,3410,,18.31794265,19.12095185,0.790697076,147.6639506,5.599,2.363,76,22.2,69.191,16.74598218,0.61,1.819363319,883.910977,65.56434565,34198,40238,-17.66185157,,,,,,,0.651993526,8.13446757,6.784356353,2.907881052,2.950784689,-4.202600572
Pakistan,PAK,193203476,60.776,1500,,16.16050457,9.145726939,3.59474547,70.64521655,6.6,3.481,61,64.2,66.481,75.75074243,0.7,0.896264105,484.4452184,59.70300799,98504,101518,-3.059774222,,,,,,,-0.003742891,7.313220387,6.183004357,2.782570276,2.213286769,-1.749221033
Nigeria,NGA,185989640,51.403,2450,,11.50440918,9.218109698,0.432947785,82.98428235,6.342,5.526,51,66.9,53.428,122.478442,0.64,0.545622113,763.3913679,19.03605449,84700,69932,17.43565525,,,,,,,-0.43754091,7.803843304,6.637770833,2.442730369,2.221169995,4.175602382
Bangladesh,BGD,162951560,64.965,1330,26.8,21.30458385,16.64971688,1.468522885,83.44924467,6.901,2.104,94,28.2,72.489,101.0171569,0.84,0.459141965,222.2209592,73.76893795,150764.7,183837.4,-21.93663371,,,,,,,-0.581351876,7.192934221,5.403672199,3.058922254,2.812393212,-4.683656019
Russian Federation,RUS,144342396,25.899,9720,,20.52640096,25.69897693,5.391616177,159.154605,2.1,1.75,98,6.6,71.59292683,15.5005356,0.55,11.85752777,4942.875517,90.22465698,772114,741406,3.97713291,,,,,,,2.481361019,9.181940897,8.505702529,3.021711909,3.246451183,1.994275034
Ethiopia,ETH,102403196,80.078,660,,27.5583169,7.948019726,0.665032956,50.02187627,6.867,4.198,70,41,65.475,49.73530571,0.64,0.119124015,496.8146013,6.112020418,102644,104014,-1.334710261,,,,,,,-1.518117433,6.492239835,6.208216921,3.316304374,2.072922807,-1.155296612
"Egypt, Arab Rep.",EGY,95688681,56.778,3410,,19.67594301,10.34546394,1.666605152,102.1975013,6.529,3.265,95,19.4,71.484,126.0282315,0.15,2.198980246,814.9880595,95.96982311,633695.8,585284.6,7.639501477,,,,,,,0.832465653,8.13446757,6.703173462,2.979396723,2.336548157,2.763964811
Vietnam,VNM,94569072,65.764,2060,,91.06233925,93.62393906,2.442960753,127.5260848,6.485,1.954,99,17.3,76.253,26.28590641,0.59,1.80356575,,,103086,146440,-42.05614729,,,,,,,0.643728838,7.630461262,,4.511544319,4.53928611,-6.485071109
